nm,HL,LL,HL_2,LL_2,HL_UB,HL_LB,LL_UB,LL_LB
542,7.75E-09,2.58E-08,8.75E-09,2.76E-08,8.13738E-09,7.36887E-09,2.676E-08,2.474E-08
543,7.63E-09,2.53E-08,8.58E-09,2.71E-08,7.99506E-09,7.27324E-09,2.619E-08,2.435E-08
544,7.48E-09,2.47E-08,8.47E-09,2.69E-08,7.80949E-09,7.14735E-09,2.538E-08,2.406E-08
545,7.38E-09,2.43E-08,8.21E-09,2.63E-08,7.80705E-09,6.96094E-09,2.501E-08,2.350E-08
546,7.28E-09,2.37E-08,8.01E-09,2.59E-08,7.77546E-09,6.79331E-09,2.433E-08,2.309E-08
547,7.07E-09,2.31E-08,7.85E-09,2.54E-08,7.58378E-09,6.55845E-09,2.345E-08,2.273E-08
548,6.92E-09,2.26E-08,7.75E-09,2.50E-08,7.43239E-09,6.40751E-09,2.287E-08,2.227E-08
549,6.79E-09,2.20E-08,7.69E-09,2.46E-08,7.30876E-09,6.27947E-09,2.223E-08,2.183E-08
550,6.64E-09,2.16E-08,7.64E-09,2.40E-08,7.15346E-09,6.12524E-09,2.216E-08,2.107E-08
551,6.53E-09,2.11E-08,7.47E-09,2.36E-08,7.0914E-09,5.96232E-09,2.185E-08,2.037E-08
552,6.34E-09,2.05E-08,7.28E-09,2.30E-08,6.81464E-09,5.85719E-09,2.128E-08,1.965E-08
553,6.16E-09,2.00E-08,7.07E-09,2.21E-08,6.59272E-09,5.73311E-09,2.087E-08,1.914E-08
554,5.96E-09,1.92E-08,6.83E-09,2.13E-08,6.42777E-09,5.48546E-09,2.022E-08,1.826E-08
555,5.75E-09,1.86E-08,6.66E-09,2.05E-08,6.19372E-09,5.31598E-09,1.972E-08,1.754E-08
556,5.63E-09,1.82E-08,6.43E-09,1.99E-08,6.08242E-09,5.18332E-09,1.943E-08,1.699E-08
557,5.46E-09,1.76E-08,6.27E-09,1.93E-08,5.82003E-09,5.09858E-09,1.890E-08,1.622E-08
558,5.35E-09,1.69E-08,6.01E-09,1.85E-08,5.68499E-09,5.01553E-09,1.823E-08,1.552E-08
559,5.16E-09,1.63E-08,5.79E-09,1.80E-08,5.41165E-09,4.90671E-09,1.761E-08,1.503E-08
560,4.97E-09,1.57E-08,5.55E-09,1.72E-08,5.20552E-09,4.74419E-09,1.689E-08,1.444E-08
561,4.89E-09,1.51E-08,5.33E-09,1.66E-08,5.20388E-09,4.57063E-09,1.622E-08,1.398E-08
562,4.69E-09,1.45E-08,5.16E-09,1.60E-08,4.9913E-09,4.39008E-09,1.555E-08,1.353E-08
563,4.52E-09,1.41E-08,5.01E-09,1.55E-08,4.81747E-09,4.21494E-09,1.499E-08,1.328E-08
564,4.44E-09,1.36E-08,4.89E-09,1.51E-08,4.75498E-09,4.12888E-09,1.427E-08,1.296E-08
565,4.34E-09,1.33E-08,4.82E-09,1.46E-08,4.58767E-09,4.0879E-09,1.400E-08,1.256E-08
566,4.23E-09,1.29E-08,4.78E-09,1.43E-08,4.37456E-09,4.08981E-09,1.383E-08,1.202E-08
567,4.23E-09,1.27E-08,4.71E-09,1.41E-08,4.37689E-09,4.08541E-09,1.350E-08,1.180E-08
568,4.20E-09,1.24E-08,4.66E-09,1.40E-08,4.31032E-09,4.0981E-09,1.318E-08,1.166E-08
569,4.16E-09,1.24E-08,4.69E-09,1.39E-08,4.30568E-09,4.00884E-09,1.321E-08,1.157E-08
570,4.16E-09,1.22E-08,4.75E-09,1.39E-08,4.4023E-09,3.92122E-09,1.291E-08,1.141E-08
571,4.21E-09,1.22E-08,4.85E-09,1.40E-08,4.43553E-09,3.97865E-09,1.297E-08,1.142E-08
572,4.23E-09,1.21E-08,4.81E-09,1.41E-08,4.38714E-09,4.08072E-09,1.300E-08,1.127E-08
